No,Name,Address,Description
1,リストレジデンス鶴ヶ峰レイズ 3F,神奈川県横浜市旭区鶴ヶ峰本町1丁目39-30,価格:4680万円/面積:71.51㎡(壁芯)/坪単価:216.3万円/築:2013年4月(13年)/徒歩9分/2SLDK/7階建3階/成約:R8.5.30
2,横浜鶴ヶ峰ビューハイツ 2F,神奈川県横浜市旭区鶴ヶ峰2丁目,価格:3080万円/面積:78.20㎡(壁芯)/坪単価:130.2万円/築:1984年1月(42年)/徒歩5分/3LDK/13階建2階/成約:R8.4.13
3,グランイーグル鶴ケ峰ヒルズ 5F,神奈川県横浜市旭区鶴ケ峰本町2丁目51-3,価格:3180万円/面積:74.54㎡(壁芯)/坪単価:141.0万円/築:1996年12月(29年)/バス+徒歩10分/4LDK(メゾネット5-6階)/成約:R8.2.28
4,横浜鶴ヶ峰ビューハイツ 11F,神奈川県横浜市旭区鶴ヶ峰2丁目,価格:3120万円/面積:72.47㎡(壁芯)/坪単価:142.3万円/築:1984年1月(42年)/徒歩5分/13階建11階/成約:R8.2.22
5,グリーンヒルズ鶴ヶ峰 1F,神奈川県横浜市旭区鶴ヶ峰,価格:1430万円/面積:60.76㎡(壁芯)/坪単価:77.8万円/築:1985年7月(40年)/徒歩12分/3LDK/4階建1階/成約:R8.1.30
6,ライオンズプラザ鶴ヶ峰 6F,神奈川県横浜市旭区鶴ヶ峰1丁目7-10,価格:3480万円/面積:60.61㎡(壁芯)/坪単価:189.8万円/築:1984年4月(42年)/徒歩5分/3LDK/6階建最上階/成約:R7.11.16
7,クリオレジダンスタワー横濱鶴ヶ峰 21F,神奈川県横浜市旭区鶴ヶ峰2丁目8-2,価格:6780万円/面積:71.72㎡(壁芯)/坪単価:312.5万円/築:2007年8月(18年)/駅直結デッキ1分/2LDK/29階建21階/成約:R7.11.22
8,マイキャッスル鶴ヶ峰 3F,神奈川県横浜市旭区白根4丁目28番3号,価格:3480万円/面積:70.52㎡(壁芯)/坪単価:163.1万円/築:2000年6月(26年)/徒歩15分/3LDK/5階建3階/リノベ済/成約:R7.10.17
9,グリーンビレッジ鶴ヶ峰 4F,神奈川県横浜市旭区鶴ヶ峰2丁目6-8,価格:5500万円/面積:82.44㎡(内法)/坪単価:220.5万円/築:2004年2月(22年)/徒歩5分/2LDK/12階建4階/成約:R7.9.29
10,クリオホームズ白根公園 5F,神奈川県横浜市旭区白根3丁目26-4,価格:1700万円/面積:60.13㎡(壁芯)/坪単価:93.5万円/築:1987年11月(38年)/バス13分(鶴ヶ峰駅)/2LDK/5階建5階/成約:R7.9.28
11,ステイツ鶴ケ峰 5F,神奈川県横浜市旭区鶴ケ峰2丁目45-7,価格:2600万円/面積:71.87㎡(壁芯)/坪単価:119.6万円/築:1998年3月(28年)/徒歩7分/3LDK/6階建5階/成約:R7.9.16
12,クリオレジダンスタワー横濱鶴ヶ峰 16F,神奈川県横浜市旭区鶴ヶ峰2丁目8-2,価格:6880万円/面積:89.76㎡(壁芯)/坪単価:253.4万円/築:2007年8月(18年)/駅直結デッキ1分/3LDK/29階建16階/成約:R7.7.31
13,リストレジデンス鶴ヶ峰レイズ 2F,神奈川県横浜市旭区鶴ヶ峰本町1丁目39-30,価格:4180万円/面積:71.51㎡(壁芯)/坪単価:193.2万円/築:2013年4月(13年)/徒歩9分/2SLDK/7階建2階/成約:R7.6.22
14,リブゼ四季美台 4F,神奈川県横浜市旭区四季美台,価格:2800万円/面積:87.17㎡(壁芯)/坪単価:106.2万円/築:2003年4月(23年)/徒歩9分(鶴ヶ峰駅)/4LDK/7階建4階/成約:R7.9.4
